surface_id,source_file,representative_mcp_ranges,uncovered_lines,uncovered_branches,uncovered_functions,region_count,initial_surface_category,input_surface,public_to_rust_chain,pillow_python_reference,why_not_reachable_or_first_divergence,wrong_implementation_question,right_rust_specific_implementation,classification,fixability,evidence_refs,agent_owner,investigation_status,agent_update,coverage_snapshot_id,coverage_run_id,coverage_command_id,coverage_command_name,coverage_suite,coverage_scope,coverage_outer_commit,coverage_measurement_commit,coverage_claim_status,coverage_snapshot_metrics,coverage_lineage_note,ranked_range_classification,first_divergence_location,divergence_id,coverage_insight_item_count,coverage_insight_source,coverage_insight_note
surface-001,pillow-rs/src/compute/pool_gpu/mod.rs,353;402;424,442,179,38,156,GPU/internal/defensive,public GPU enablement plus Image.new/paste/point/putdata inputs,Public GPU enablement plus Image.new/paste/point/putdata inputs -> PyImage/RsImage pipeline -> GpuPool::execute_batch -> GPU preflight -> batch capacity -> upload/packing guards.,"Pillow 12.2.0 exposes Image.new, Image.Image.paste, point, and putdata, but has no Python GPU-capacity analogue.","For valid public inputs, primary/output dimensions route to CPU before upload_rgba, auxiliary dimensions route to CPU before pack_rgba, and gpu_batch_capacity includes PutData payload size before pack_put_data. Public putdata also rejects more entries than the image pixel count. The target error branches therefore require bypassing preflight or malformed internal state.",No. The guards correctly defend GPU storage and preserve CPU fallback/error ordering.,"Keep checked pixel arithmetic, capacity errors, preflight ordering, and CPU fallback unchanged; do not add a public bypass.",unreachable,not_a_bug,"snapshot dbf551d1-12ce-4a17-84ff-79835939ff9e; pillow-rs/src/compute/pool_gpu/mod.rs:349-357,397-427,2873-3017,3075-3126,3430-3575; pillow-rs/src/image.rs:4790-4798; pillow-rs-py/src/putdata.rs:217-245; Pillow 12.2.0 PIL/Image.py:3195,1841,1989,2104",luna-01,complete,Luna investigation: GPU capacity/packing guards are unreachable from valid public inputs; no runtime fix indicated.,dbf551d1-12ce-4a17-84ff-79835939ff9e,cfa9906d-c8f9-4c12-b34b-ef226035d5d7,cb6bdc19-2ffc-46a0-8095-5a800879f8f9,pillow-rs strict CPU SIMD GPU coverage 870a1f4fb,pillow-rs-current-cpu-simd-gpu-coverage-20260815,CPU+SIMD+GPU snapshot; GPU included per latest task scope; fontdone and image-slash-star excluded,ed3fb5a377cea66e64d68936df679aa7ff7d749e,870a1f4fb6d74bcd4849dea9ded09e4cdce5e5ee,supported,regions 56232/62303; lines 35005/38270; branches 5630/6738; functions 2731/3160,"MCP snapshot measured commit differs from run checkout commit; snapshot/run IDs, suite, and artifact path are recorded for audit.",unreachable,none identified in assigned ranked ranges,none,50,ranked_targets,Exactly 50 ranked targets returned; each row is one target. Region ranges are representative where MCP marks regions_truncated=true; region_count remains authoritative.
surface-002,pillow-rs/src/image.rs,233;262;285,333,71,67,99,planner/internal/validation,public image operations and mode/size metadata,rotate: pillow_rs.Image.rotate -> PyImage::rotate -> Image::rotate_with_input -> PipelineOp::Rotate -> Image::size -> known_pipeline_op_dimensions -> round_dimension; convert: pillow_rs.Image.convert -> PyImage::convert -> Image::convert_with_input -> Image::convert -> PipelineOp::Convert -> Image::mode; putalpha: pillow_rs.Image.putalpha -> PyImage::putalpha_input -> Image::putalpha_with_input -> Image::putalpha -> PipelineOp::PutAlpha -> mode planner/materialization; scale: pillow_rs.ImageOps.scale -> ops_scale -> imageops_scale_with_input -> PipelineOp::Scale -> size/mode planners.,"Pillow 12.2.0 rotate(NaN, expand=True) raises ValueError('cannot convert float NaN to integer'); scale(NaN) raises the same ValueError, scale(inf) raises OverflowError, and factors rounding to zero dimensions raise ValueError('height and width must be > 0').","known_putalpha_mode and ColorMode wildcards are unreachable from supported public modes. round_dimension is public through rotate(NaN, expand=True), but the first divergence is earlier: rotate_with_input queues a non-finite angle, planning falls back to materialization, and Rust reports zero dimensions instead of Pillow's conversion ValueError. ImageOps.scale also diverges for NaN/inf and zero rounded dimensions; valid L/LA/RGB/RGBA/P/PA/CMYK metadata matched.",Are planner fallback arms missing public mode implementations? No. The confirmed defects are public non-finite rotate/scale validation and Scale's zero-dimension clamp.,"Keep Option fallbacks at lines 233,262,285. Validate non-finite rotate angles before modulo or PipelineOp::Rotate queueing. Make scale_with_input reproduce Pillow's eager NaN ValueError, infinity OverflowError, and zero-dimension ValueError paths, removing the effective zero-to-one clamp while preserving valid metadata propagation.",mixed_reachability_with_confirmed_runtime_validation_bugs,needs_runtime_fix,"pillow-rs/src/image.rs:224-296,304-391,4263-4343; pillow-rs/src/ops/rotate.rs:136-219; pillow-rs/src/ops/imageops.rs:822-842; pillow-rs-py/src/lib.rs:705-727,738-768,1174-1184,3567-3578; .venv/lib/python3.12/site-packages/PIL/Image.py:2049-2102,2475-2589; .venv/lib/python3.12/site-packages/PIL/ImageOps.py:392-414; Pillow 12.2.0 rotate/scale probes",luna-002-targeted,complete,"Targeted Luna verification: mode wildcards remain unreachable, while public rotate/scale validation bugs are confirmed and fixable within current scope.",dbf551d1-12ce-4a17-84ff-79835939ff9e,cfa9906d-c8f9-4c12-b34b-ef226035d5d7,cb6bdc19-2ffc-46a0-8095-5a800879f8f9,pillow-rs strict CPU SIMD GPU coverage 870a1f4fb,pillow-rs-current-cpu-simd-gpu-coverage-20260815,CPU+SIMD+GPU snapshot; GPU included per latest task scope; fontdone and image-slash-star excluded,ed3fb5a377cea66e64d68936df679aa7ff7d749e,870a1f4fb6d74bcd4849dea9ded09e4cdce5e5ee,supported,regions 56232/62303; lines 35005/38270; branches 5630/6738; functions 2731/3160,"MCP snapshot measured commit differs from run checkout commit; snapshot/run IDs, suite, and artifact path are recorded for audit.",mixed_reachable_bug_candidate,pillow-rs/src/image.rs:304-391 and pillow-rs/src/ops/rotate.rs:136-219; pillow-rs/src/ops/imageops.rs:822-842,D-002,50,ranked_targets,Exactly 50 ranked targets returned; each row is one target. Region ranges are representative where MCP marks regions_truncated=true; region_count remains authoritative.
surface-003,pillow-rs/src/compute/pool_simd/ops/adapters.rs,333;372;382,301,138,16,165,SIMD/adapter validation,public byte-image operations and conversions,Pillow Image.point/Image.eval -> pillow-rs-py PyImage::point -> image_eval_validated or image_eval_callable -> PipelineOp::Eval -> SIMD simd_eval/native_point_lut -> native_lut_tables and 16-byte chunk conversion.,"Pillow 12.2.0 PIL/Image.py:1989-2047,3772-3785; Pillow validates/constructs per-band LUTs before pixel execution.","The Rust binding validates non-callable LUTs before queuing Eval, and callable LUTs always produce complete 256-entry tables. native_lut_tables therefore receives a valid 256-entry table for L images, so invalid-length and fallback returns do not execute. chunks_exact_mut(16) yields exactly 16-byte slices, so the try_from failure arm is impossible by iterator contract. Other valid modes bypass this native adapter.","No. These are defensive adapter guards for malformed internal LUT lengths or impossible chunk shapes, not incorrect results for valid Pillow inputs.","Retain the exact LUT-length check, defensive [u8;16] conversion, SIMD chunk processing, scalar remainder handling, and public validation/fallback dispatch before the native adapter.",unreachable,not_a_bug,"snapshot dbf551d1-12ce-4a17-84ff-79835939ff9e; pillow-rs/src/compute/pool_simd/ops/adapters.rs:331-399,3790-3819; pillow-rs/src/compute/pool_simd/mod.rs:28-80,320-326; pillow-rs/src/ops/module_fns.rs:365-403; pillow-rs-py/src/lib.rs:1318-1345; Pillow 12.2.0 PIL/Image.py:1989-2047,3772-3785",luna-02,complete,Luna investigation: adapter guards are unreachable for valid public LUTs and remain defensive.,dbf551d1-12ce-4a17-84ff-79835939ff9e,cfa9906d-c8f9-4c12-b34b-ef226035d5d7,cb6bdc19-2ffc-46a0-8095-5a800879f8f9,pillow-rs strict CPU SIMD GPU coverage 870a1f4fb,pillow-rs-current-cpu-simd-gpu-coverage-20260815,CPU+SIMD+GPU snapshot; GPU included per latest task scope; fontdone and image-slash-star excluded,ed3fb5a377cea66e64d68936df679aa7ff7d749e,870a1f4fb6d74bcd4849dea9ded09e4cdce5e5ee,supported,regions 56232/62303; lines 35005/38270; branches 5630/6738; functions 2731/3160,"MCP snapshot measured commit differs from run checkout commit; snapshot/run IDs, suite, and artifact path are recorded for audit.",unreachable,none identified in assigned ranked ranges,none,50,ranked_targets,Exactly 50 ranked targets returned; each row is one target. Region ranges are representative where MCP marks regions_truncated=true; region_count remains authoritative.
surface-004,pillow-rs/src/raster/dynamic.rs,159-163;167-179;181,286,2,19,81,typed-raster/internal,public decode and typed/mode conversion inputs,Pillow Image.open/load/new/frombytes/frombuffer/convert/transpose/crop -> PyImage/RustImage routes -> Image materialization or raw construction -> decoded_to_dynamic -> DynamicImage::from_decoded -> typed DynamicImage clone/clone_from arms.,"Pillow 12.2.0 PIL/Image.py:242-263,3195-3287,3290-3349; Pillow exposes I;16 modes but no public Rgb16/Rgba16/Rgb32F/Rgba32F mode names.","DynamicImage::from_decoded can construct LumaA16, Rgb16, Rgba16, Rgb32F, and Rgba32F from matching internal data, but no Python-facing target route supplies one. Raw constructors create only ImageLuma16 for I;16; I and F use byte RGBA storage. PNG maps 16-bit RGB/RGBA to Rgb8/Rgba8; clone_from has no repository call site and is Rust-internal.",No implementation bug is established. These typed arms are valid internal format-matrix behavior; the current public decoder and constructor scope does not instantiate them.,"Keep exhaustive Clone and clone_from arms for every DynamicImage variant. If typed alpha/color/float formats become public, add decoder/constructor routes and parity cases together; otherwise retain them as internal zero-gain coverage.",unreachable_current_public_scope,unfixable_without_scope_change,"snapshot dbf551d1-12ce-4a17-84ff-79835939ff9e; pillow-rs/src/raster/dynamic.rs:119-180,800-871; pillow-rs/src/image.rs:1320-1412,1521-1635,2020-2038,5937-5968; pillow-rs-py/src/lib.rs:546-615,1376-1389; Pillow 12.2.0 PIL/Image.py:242-263,3195-3349; image-slash-star decoder evidence intentionally not modified",luna-02,complete,Luna investigation: typed DynamicImage arms are internal zero-gain variants under the current public decoder/constructor scope.,dbf551d1-12ce-4a17-84ff-79835939ff9e,cfa9906d-c8f9-4c12-b34b-ef226035d5d7,cb6bdc19-2ffc-46a0-8095-5a800879f8f9,pillow-rs strict CPU SIMD GPU coverage 870a1f4fb,pillow-rs-current-cpu-simd-gpu-coverage-20260815,CPU+SIMD+GPU snapshot; GPU included per latest task scope; fontdone and image-slash-star excluded,ed3fb5a377cea66e64d68936df679aa7ff7d749e,870a1f4fb6d74bcd4849dea9ded09e4cdce5e5ee,supported,regions 56232/62303; lines 35005/38270; branches 5630/6738; functions 2731/3160,"MCP snapshot measured commit differs from run checkout commit; snapshot/run IDs, suite, and artifact path are recorded for audit.",unreachable_current_public_scope,none identified in assigned ranked ranges,none,50,ranked_targets,Exactly 50 ranked targets returned; each row is one target. Region ranges are representative where MCP marks regions_truncated=true; region_count remains authoritative.
surface-005,pillow-rs/src/compute/pool_simd/ops/scalar.rs,108;160-161;335,264,177,4,105,SIMD/scalar fallback,public mode-specific image operations,ImageEnhance.Brightness -> PyImage.enhance_brightness -> Image::enhance_brightness -> PipelineOp::Brightness -> SimdPool::execute_batch -> adapters::simd_brightness; ImageOps.flip and ImageChops.screen follow analogous SIMD adapter paths.,"Pillow 12.2.0: PIL.ImageEnhance.Brightness.enhance, PIL.ImageOps.flip, and PIL.ImageChops.screen.",The target scalar arms require a packed fallback with a non-alpha/non-gray mode code. Valid L/LA/RGB/RGBA and logical P/PA/YCbCr/HSV routes use native adapters; CMYK uses mode code 4; tagged I/F/I;16 modes map to mode code 3. Pillow rejects the typed modes for Brightness and Screen. No valid Pillow input was shown to produce the target mode combinations.,No wrong scalar implementation is established. Any typed Brightness/Screen divergence would occur before these target arms.,Retain native adapter selection and the complete scalar fallback. Preserve mode_to_u32 mappings and do not force invalid mode combinations solely to manufacture coverage.,unreachable,not_a_bug,"snapshot dbf551d1-12ce-4a17-84ff-79835939ff9e; pillow-rs/src/compute/pool_simd/ops/scalar.rs:83-112,140-165,316-348; pillow-rs/src/compute/pool_simd/ops/adapters.rs:23-37,573-650,1363-1373,1675-1710,1859-1874,2910-2924; pillow-rs/src/ops/enhance.rs:7-33; pillow-rs/src/ops/imageops.rs:450-458; pillow-rs/src/ops/chops.rs:73-85; Pillow 12.2.0 mode probes",luna-03,complete,Luna investigation: scalar fallback combinations are bypassed by supported SIMD mode routes; no runtime fix indicated.,dbf551d1-12ce-4a17-84ff-79835939ff9e,cfa9906d-c8f9-4c12-b34b-ef226035d5d7,cb6bdc19-2ffc-46a0-8095-5a800879f8f9,pillow-rs strict CPU SIMD GPU coverage 870a1f4fb,pillow-rs-current-cpu-simd-gpu-coverage-20260815,CPU+SIMD+GPU snapshot; GPU included per latest task scope; fontdone and image-slash-star excluded,ed3fb5a377cea66e64d68936df679aa7ff7d749e,870a1f4fb6d74bcd4849dea9ded09e4cdce5e5ee,supported,regions 56232/62303; lines 35005/38270; branches 5630/6738; functions 2731/3160,"MCP snapshot measured commit differs from run checkout commit; snapshot/run IDs, suite, and artifact path are recorded for audit.",unreachable,none identified in assigned ranked ranges,none,50,ranked_targets,Exactly 50 ranked targets returned; each row is one target. Region ranges are representative where MCP marks regions_truncated=true; region_count remains authoritative.
surface-006,pillow-rs/src/compute/registry.rs,109;128;193-195,241,99,5,136,registry/control-plane,public operation dispatch and backend selection,Public quantize calls Image::quantize_with_input -> direct quantize/quantize_to_palette; public gradients and Mandelbrot call PyO3 image_* wrappers -> core module_fns constructors -> eager Image::frombytes. These routes do not construct legacy PipelineOp variants before registry::variant_key.,"Pillow 12.2.0: PIL.Image.Image.quantize, PIL.Image.linear_gradient, PIL.Image.radial_gradient, and PIL.Image.effect_mandelbrot.","variant_key arms for Quantize, LinearGradient, RadialGradient, and EffectMandelbrot are deprecated descriptors retained for metadata/control-plane compatibility. Public constructors materialize directly. Quantize has no registry insertion; gradient and Mandelbrot entries are gpu_only_entry entries with no CPU/SIMD executor. The cached-error arm requires registry initialization failure, not a public operation input.",No public implementation error is shown. A registry miss or missing CPU/SIMD executor for these legacy descriptors is expected under the current eager-constructor design.,"Retain legacy variant_key mappings and OnceLock error propagation. Only deliberate backend-scope expansion should add executors and reroute public constructors, with operation-specific parity validation.",unreachable,not_a_bug,"snapshot dbf551d1-12ce-4a17-84ff-79835939ff9e; pillow-rs/src/compute/registry.rs:100-110,119-206,285-294,390-392,2130-2145; pillow-rs/src/ops/module_fns.rs:441-485,497-542,554-650; pillow-rs/src/ops/quantize.rs:2062-2112,2157-2185; pillow-rs-py/src/lib.rs:964-986,3890-3920; Pillow 12.2.0",luna-03,complete,Luna investigation: registry descriptors are legacy/control-plane paths; valid public constructors bypass them and miss/error arms are defensive.,dbf551d1-12ce-4a17-84ff-79835939ff9e,cfa9906d-c8f9-4c12-b34b-ef226035d5d7,cb6bdc19-2ffc-46a0-8095-5a800879f8f9,pillow-rs strict CPU SIMD GPU coverage 870a1f4fb,pillow-rs-current-cpu-simd-gpu-coverage-20260815,CPU+SIMD+GPU snapshot; GPU included per latest task scope; fontdone and image-slash-star excluded,ed3fb5a377cea66e64d68936df679aa7ff7d749e,870a1f4fb6d74bcd4849dea9ded09e4cdce5e5ee,supported,regions 56232/62303; lines 35005/38270; branches 5630/6738; functions 2731/3160,"MCP snapshot measured commit differs from run checkout commit; snapshot/run IDs, suite, and artifact path are recorded for audit.",unreachable,none identified in assigned ranked ranges,none,50,ranked_targets,Exactly 50 ranked targets returned; each row is one target. Region ranges are representative where MCP marks regions_truncated=true; region_count remains authoritative.
surface-007,pillow-rs/src/lib.rs,362-364;367;372-373,216,0,37,59,core public/private mixed,public core operations and constructors,PIL.ImageFont.truetype/load_default -> pillow-rs Python facade -> PyFont::truetype/load_default -> pillow_rs::imagefont_from_source/imagefont_load_default -> FreeTypeFont::from_source -> FreeTypeFont::from_bytes_with_options/from_bytes; target root byte wrappers are separate public forwarding aliases.,"Pillow 12.2.0 PIL.ImageFont.FreeTypeFont.__init__, ImageFont.truetype, and ImageFont.load_default.","The snapshot is for the imaging CPU/SIMD/GPU lane, while these are fontdone/FreeType constructor boundaries. The Python path is reachable through adjacent source/default constructors but does not directly call the two target root aliases. No implementation divergence is established.",Omission from the imaging snapshot is not evidence of a constructor or binding defect; this requires separate fontdone parity coverage.,Make no imaging-runtime change. Preserve thin forwarding constructors and host-source conversion; assess direct byte-constructor/error parity only under expanded fontdone scope.,font_scope_excluded,unfixable_without_scope_change,"snapshot dbf551d1-12ce-4a17-84ff-79835939ff9e; pillow-rs/src/lib.rs:361-373; pillow-rs/src/font/mod.rs:391-431; pillow-rs-py/src/lib.rs:2137-2163; pillow-rs-py/python/pillow_rs/imagefont.py:191-205,431-444; Pillow 12.2.0 PIL/ImageFont.py:218-281,787-793,1068-1084",luna-04,complete,Luna investigation: font constructor boundary is excluded from the imaging audit; no runtime change.,dbf551d1-12ce-4a17-84ff-79835939ff9e,cfa9906d-c8f9-4c12-b34b-ef226035d5d7,cb6bdc19-2ffc-46a0-8095-5a800879f8f9,pillow-rs strict CPU SIMD GPU coverage 870a1f4fb,pillow-rs-current-cpu-simd-gpu-coverage-20260815,CPU+SIMD+GPU snapshot; GPU included per latest task scope; fontdone and image-slash-star excluded,ed3fb5a377cea66e64d68936df679aa7ff7d749e,870a1f4fb6d74bcd4849dea9ded09e4cdce5e5ee,supported,regions 56232/62303; lines 35005/38270; branches 5630/6738; functions 2731/3160,"MCP snapshot measured commit differs from run checkout commit; snapshot/run IDs, suite, and artifact path are recorded for audit.",font_scope_excluded,none identified in assigned ranked ranges,none,50,ranked_targets,Exactly 50 ranked targets returned; each row is one target. Region ranges are representative where MCP marks regions_truncated=true; region_count remains authoritative.
surface-008,pillow-rs-py/src/lib.rs,61;535;819,130,25,32,52,binding/macro/error,public Python binding calls and errors,ImageSequence.Iterator -> pillow_rs.imagesequence.Iterator -> _core.Iterator -> PyImageSequenceIterator; Image.filter -> pillow_rs.image.Image.filter -> PyImage::filter -> validation -> cloned PyImage -> filter._apply -> PyImage result.,"Pillow 12.2.0 ImageSequence.Iterator implements __getitem__, __iter__, and __next__; Image.filter accepts objects/classes exposing filter().","lib.rs:61 and :535 are #[pymethods] macro attribution points, not standalone branches. lib.rs:819 is reachable through maintained target ImageFilter objects using _apply; BLUR succeeds. The first divergence for omitted protocols is Iterator indexing (Pillow supports iterator[0], Rust raises TypeError); standard Pillow Filter.filter objects are also rejected. These are compatibility features absent from the maintained endpoint scope, not core algorithm defects.","Is a missing Pillow __getitem__/filter protocol a bug in the maintained endpoint, or an out-of-scope compatibility expansion?","Retain Rust iterator state and named-filter core dispatch. If protocol scope expands, add a thin PyO3 __getitem__ bridge mapping seek/EOFError to indexed results/IndexError and a host-side filter() adapter; do not add image algorithms to PyO3/core.",scope_excluded_compatibility_gap_with_reachable_binding_bridge,unfixable_without_scope_change,"pillow-rs-py/src/lib.rs:54-99,794-825; pillow-rs-py/python/pillow_rs/imagesequence.py:1-10; pillow-rs-py/python/pillow_rs/imagefilter.py:7-14; pillow-rs-py/tests/fixtures/manifest.yaml:4534-4577; pillow-rs/tests/fixtures/manifest.yaml:29381-29415,29474-29517; .venv/lib/python3.12/site-packages/PIL/ImageSequence.py:26-63; .venv/lib/python3.12/site-packages/PIL/Image.py:1443-1468; .venv/lib/python3.12/site-packages/PIL/ImageFilter.py:34-51; Pillow 12.2.0 iterator/filter probes",luna-008-targeted,complete,Targeted Luna verification: maintained _apply/BLUR binding is reachable; missing Iterator.__getitem__/Filter.filter interoperability is an explicit scope-excluded compatibility gap.,dbf551d1-12ce-4a17-84ff-79835939ff9e,cfa9906d-c8f9-4c12-b34b-ef226035d5d7,cb6bdc19-2ffc-46a0-8095-5a800879f8f9,pillow-rs strict CPU SIMD GPU coverage 870a1f4fb,pillow-rs-current-cpu-simd-gpu-coverage-20260815,CPU+SIMD+GPU snapshot; GPU included per latest task scope; fontdone and image-slash-star excluded,ed3fb5a377cea66e64d68936df679aa7ff7d749e,870a1f4fb6d74bcd4849dea9ded09e4cdce5e5ee,supported,regions 56232/62303; lines 35005/38270; branches 5630/6738; functions 2731/3160,"MCP snapshot measured commit differs from run checkout commit; snapshot/run IDs, suite, and artifact path are recorded for audit.",mixed_reachable_bridge,pillow-rs-py/python/pillow_rs/imagesequence.py:1-10 (__getitem__) and imagefilter.py:7-14 (filter protocol),D-008,50,ranked_targets,Exactly 50 ranked targets returned; each row is one target. Region ranges are representative where MCP marks regions_truncated=true; region_count remains authoritative.
surface-009,pillow-rs/src/raster/traits/primitive.rs,69-71;99-101;144-146,103,41,10,26,generic/monomorphization,public typed raster operations,Pillow typed image operations -> PyImage -> Image constructors/materialization -> DynamicImage conversion -> generic FromColor/rgb_to_luma -> Primitive/Enlargeable methods.,"Pillow 12.2.0 exposes scalar I;16*, I, and F modes, but Image.new rejects RGB16, RGBA16, RGB32F, and RGBA32F.","The target f32/f64 implementations require RGB/RGBA f32 source pixels, while u16::clamp_from requires RGB/RGBA u16 source pixels. Maintained Python constructors create Luma<u16> for I;16* and Rgba<u8> storage for I/F, so these monomorphizations are not produced. DynamicImage can represent missing variants, but enabled public decoder emission is not established.",No parity divergence is evidenced; these are generic implementations and uncovered bodies are not proof of incorrect behavior.,Retain generic Primitive and Enlargeable implementations and the generic conversion matrix. Do not add Python-facing routes or specializations solely to instantiate uncovered combinations.,unreachable,not_a_bug,"snapshot dbf551d1-12ce-4a17-84ff-79835939ff9e; pillow-rs/src/raster/traits/primitive.rs:64-101,140-146; pillow-rs/src/raster/color/from_primitive.rs:84-92; pillow-rs/src/raster/color/from_color.rs:33-53; pillow-rs/src/raster/dynamic.rs:132-148,264-290,800-868; Pillow 12.2.0 Image.new mode probe",luna-05,complete,Luna investigation: generic typed monomorphizations are not produced by maintained public raster routes; no runtime fix indicated.,dbf551d1-12ce-4a17-84ff-79835939ff9e,cfa9906d-c8f9-4c12-b34b-ef226035d5d7,cb6bdc19-2ffc-46a0-8095-5a800879f8f9,pillow-rs strict CPU SIMD GPU coverage 870a1f4fb,pillow-rs-current-cpu-simd-gpu-coverage-20260815,CPU+SIMD+GPU snapshot; GPU included per latest task scope; fontdone and image-slash-star excluded,ed3fb5a377cea66e64d68936df679aa7ff7d749e,870a1f4fb6d74bcd4849dea9ded09e4cdce5e5ee,supported,regions 56232/62303; lines 35005/38270; branches 5630/6738; functions 2731/3160,"MCP snapshot measured commit differs from run checkout commit; snapshot/run IDs, suite, and artifact path are recorded for audit.",unreachable,none identified in assigned ranked ranges,none,50,ranked_targets,Exactly 50 ranked targets returned; each row is one target. Region ranges are representative where MCP marks regions_truncated=true; region_count remains authoritative.
surface-010,pillow-rs/src/draw/mod.rs,369;475-477;514,88,35,13,29,public draw candidate,PIL.ImageDraw public primitives,"pillow_rs.imagedraw.Draw.__init__ -> PyDraw::new -> Draw::new/validate_mode; ImageDraw.shape(Outline, fill=None, outline=None) -> PyDraw::shape -> Draw::shape_with_input/shape -> default_shape_ink -> polygon pipeline operation.","Pillow 12.2.0: ImageDraw.Draw(Image.new('I;16', ...)).shape(Outline) draws nonzero pixels with value 65535; invalid explicit mode overrides raise ValueError('mode mismatch').","The no-override return at draw/mod.rs:369 is not reached through PyDraw::new because Draw::new always populates draw_mode. Draw::mode at lines 475-477 is public in core but not exposed by PyDraw. However default_shape_ink's wildcard at line 514 is reached by public ImageDraw.shape for I;16 with omitted colors; it returns None, so Draw::shape is a no-op while Pillow writes 65535.","Yes. The first confirmed divergence is I;16 default shape ink. The CPU draw fallback also converts non-8-bit images through to_rgba8(), so adding an 8-bit RGBA tuple would not preserve 16-bit semantics.",Add explicit I;16/I;16L/I;16B/I;16N default ink using a native u16 Luma16 draw path or equivalent mode-aware conversion writing 65535 while preserving byte-order tags. Leave validate_mode and core mode getter unchanged.,implementation_bug_candidate,needs_runtime_fix,"snapshot dbf551d1-12ce-4a17-84ff-79835939ff9e; pillow-rs/src/draw/mod.rs:347-377,474-515,746-824; pillow-rs-py/src/lib.rs:2800-2808,2978-2999; pillow-rs/src/compute/pool_cpu/ops/draw.rs:16-40; Pillow 12.2.0 I;16 shape probe",luna-05,complete,Luna investigation: public I;16 ImageDraw.shape default ink diverges from Pillow; no files changed.,dbf551d1-12ce-4a17-84ff-79835939ff9e,cfa9906d-c8f9-4c12-b34b-ef226035d5d7,cb6bdc19-2ffc-46a0-8095-5a800879f8f9,pillow-rs strict CPU SIMD GPU coverage 870a1f4fb,pillow-rs-current-cpu-simd-gpu-coverage-20260815,CPU+SIMD+GPU snapshot; GPU included per latest task scope; fontdone and image-slash-star excluded,ed3fb5a377cea66e64d68936df679aa7ff7d749e,870a1f4fb6d74bcd4849dea9ded09e4cdce5e5ee,supported,regions 56232/62303; lines 35005/38270; branches 5630/6738; functions 2731/3160,"MCP snapshot measured commit differs from run checkout commit; snapshot/run IDs, suite, and artifact path are recorded for audit.",mixed_reachable_defensive,pillow-rs/src/draw/mod.rs:514,D-010,50,ranked_targets,Exactly 50 ranked targets returned; each row is one target. Region ranges are representative where MCP marks regions_truncated=true; region_count remains authoritative.
